,kinect_id,person_id,movementAmount,isTalking,headAngle,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,HandLeft_x,HandLeft_y,HandLeft_z,HandRight_x,HandRight_y,HandRight_z,leanVector_x,leanVector_z,weighted_name,timeframe,minute,activity
78,9615764747,7.20576E+16,3.61,FALSE,-1.413954624,2.475831966,4.484043115,1.48040174,2.567457134,4.456135681,1.2405775,2.350660241,4.348371008,1.3132219,2.586455048,4.452908506,1.0438517,2.263509097,4.368967376,1.1281462,2.814403668,4.360341061,0.9687488,2.391684872,4.461518323,1.0150015,-0.1257905,0.2046617,mia,4/6/18 16:12,4/6/18 16:13,csue
79,9615764747,7.20576E+16,7.494,FALSE,1.103219839,2.086496124,2.330001828,1.9206261,2.189774509,2.349169125,1.7981293,2.044498087,2.217608437,1.7971789,2.269099984,2.450207855,1.704749,2.082367196,2.292504173,1.60459418,2.129088241,2.374974101,1.6043297,2.102734478,2.450225049,1.4469844,-0.2218893,0.6376004,ken,4/6/18 16:12,4/6/18 16:13,csue
80,9615764747,7.20576E+16,4.466,FALSE,0.960835028,2.130285941,2.941768967,1.558216487,2.263791325,3.086524089,1.3536602,2.137485495,2.758702973,1.3446873,2.219772923,3.123831152,1.1486511,2.040492782,2.642070455,1.3442944,2.306988744,3.135379465,0.916676,1.904109409,2.820330908,1.3244587,0.1439011,-0.1325064,sue,4/6/18 16:12,4/6/18 16:13,cmia
81,9615764747,7.20576E+16,7.494,FALSE,1.017944738,2.084238943,2.327883693,1.9215195,2.191882295,2.35001702,1.7997905,2.043455226,2.226854819,1.8028447,2.275961328,2.455574851,1.7155563,2.181068758,2.380106394,1.7478066,2.132150417,2.376325371,1.601897,2.062531708,2.489862087,1.564007279,-0.2160227,0.6296722,ken,4/6/18 16:12,4/6/18 16:13,i
82,9615764747,7.20576E+16,5.564,FALSE,1.089469718,2.086089035,2.324779803,1.9169249,2.192583122,2.351431202,1.7984171,2.028552992,2.274960913,1.8361639,2.304667354,2.447557804,1.7414237,2.067861237,2.287315411,1.63307443,2.210729227,2.449493019,1.560867526,2.103116355,2.519607436,1.53117064,-0.0427171,0.204709,ken,4/6/18 16:12,4/6/18 16:13,i
83,9615764747,7.20576E+16,0.554,FALSE,1.273153393,2.475744008,4.484586293,1.48103619,2.567449189,4.456407633,1.2391014,2.350977628,4.349970421,1.3118895,2.588457209,4.451106908,1.0429054,2.269595082,4.369165912,1.1244589,2.812251814,4.358488247,0.9566101,2.400532072,4.460625763,1.0151976,-0.117928,0.2215588,mia,4/6/18 16:12,4/6/18 16:13,csue
84,9615764747,7.20576E+16,4.901,FALSE,0.860268956,2.126321718,2.941584789,1.552374422,2.269093887,3.089649349,1.3513144,2.141595438,2.85556115,1.3630327,2.221407356,3.124947935,1.1553167,2.016769361,2.765672722,1.3440776,2.301562525,3.133696647,0.9034224,1.923966043,2.923039348,1.3322419,0.1433024,-0.113541,sue,4/6/18 16:12,4/6/18 16:13,cmia
85,9615764747,7.20576E+16,10.511,FALSE,1.089469718,2.088897189,2.33332932,1.9269992,2.181740425,2.362503602,1.8310408,2.02109825,2.325331656,1.8919333,2.245886535,2.426187966,1.7281866,2.061889571,2.30746963,1.719198,2.254409136,2.569026945,1.8389629,2.130522639,2.470246585,1.6763578,-0.0302893,0.2432331,ken,4/6/18 16:12,4/6/18 16:13,i
86,9615764747,7.20576E+16,4.531,FALSE,1.056130427,2.14273747,2.938325844,1.556899075,2.271964672,3.085586126,1.3545779,2.138115979,2.773494167,1.3419595,2.227731113,3.121321957,1.152024,1.978627244,2.74224347,1.3443448,2.298810414,3.134563923,0.8983378,1.942776538,2.962797776,1.3099978,0.1110834,-0.1351454,sue,4/6/18 16:12,4/6/18 16:13,cmia
87,9615764747,7.20576E+16,0.474,FALSE,-1.399588703,2.474973331,4.485562801,1.47991023,2.567184737,4.457220968,1.2377443,2.351316116,4.350978514,1.3108638,2.591869324,4.449206646,1.0424934,2.270042768,4.369107261,1.1233716,2.816160698,4.355955541,0.9581979,2.397912974,4.466889623,1.0165289,-0.117928,0.2215588,mia,4/6/18 16:12,4/6/18 16:13,csue
88,9615764747,7.20576E+16,4.531,FALSE,0.998287503,2.145389283,2.936645803,1.559832683,2.273409601,3.084735107,1.3556025,2.147233909,2.828285888,1.3505699,2.223345246,3.122186494,1.1517789,2.083420632,2.662987576,1.3530084,2.310434318,3.133440323,0.9182496,1.870179799,2.793346133,1.3117152,0.1089329,-0.1396366,sue,4/6/18 16:12,4/6/18 16:13,cmia
89,9615764747,7.20576E+16,2.678,FALSE,-1.558192978,2.47399273,4.484189356,1.48123315,2.567577237,4.456348876,1.2395613,2.350573855,4.350302349,1.3116172,2.592863501,4.448022798,1.0444293,2.262692816,4.373130274,1.1269703,2.848866507,4.510591005,1.0615087,2.393825073,4.460520404,1.0146942,-0.117928,0.2215588,mia,4/6/18 16:13,4/6/18 16:13,csue
90,3455463847,7.20576E+16,0.332,FALSE,-1.059090584,2.0756251,2.275565,1.3825325,2.0258516,2.232651,1.2221707,2.2347872,2.300678,1.2346703,1.9585971,2.394805,1.2115312,2.1743972,2.191167,1.0840227,1.8727523,2.622182,1.2233086,2.0759424,2.171795,0.8630164,-0.4516245,-0.03545685,ken,4/6/18 16:12,4/6/18 16:13,i
91,9615764747,7.20576E+16,1.2,FALSE,1.097185677,2.13657084,2.944083491,1.562039134,2.267452911,3.085182536,1.3559515,2.137678072,2.737886159,1.3318969,2.220497992,3.122876557,1.1480573,1.984055003,2.684534258,1.3376298,2.306623091,3.13519517,0.9158942,1.915455044,2.8166806,1.3242336,0.1259604,-0.1530012,sue,4/6/18 16:13,4/6/18 16:13,cmia
92,9615764747,7.20576E+16,6.105,FALSE,1.089469718,2.091765271,2.338061246,1.9288508,2.183016607,2.364588889,1.8315553,2.025399344,2.297915012,1.8622551,2.254679733,2.426891578,1.7294431,2.073820645,2.296101735,1.6856677,2.35114907,2.51478561,1.8564111,2.130290151,2.472462884,1.7001344,-0.03742933,0.1406374,ken,4/6/18 16:13,4/6/18 16:13,i
93,9615764747,7.20576E+16,0.884,FALSE,-1.277755377,2.472791468,4.484066188,1.482362,2.566650766,4.457358941,1.2402311,2.350482776,4.350025325,1.3117319,2.573867633,4.462361436,1.0415238,2.264504334,4.370275673,1.1261707,2.828480095,4.522763875,1.0810609,2.396926241,4.455632051,1.010615,-0.117928,0.2215588,mia,4/6/18 16:13,4/6/18 16:13,csue
94,9615764747,7.20576E+16,5.873,FALSE,1.089469718,2.088328259,2.342416583,1.9264404,2.182023942,2.366100479,1.8284508,2.026509036,2.306462565,1.8672453,2.252816754,2.432197687,1.7251805,2.070880085,2.280449317,1.6902758,2.355966979,2.525607642,1.8467573,2.20199962,2.212362595,1.58980447,-0.03477635,0.1561044,ken,4/6/18 16:13,4/6/18 16:13,i
95,9615764747,7.20576E+16,0.422,FALSE,-1.51005448,2.474715995,4.484148022,1.48151323,2.567506178,4.456482365,1.2391253,2.350861983,4.349953076,1.3116267,2.587471064,4.452810141,1.0426128,2.267598402,4.367242167,1.1248822,2.843443521,4.514775891,1.063279,2.395504245,4.45822979,1.0127247,-0.117928,0.2215588,mia,4/6/18 16:13,4/6/18 16:13,csue
96,3455463847,7.20576E+16,0,FALSE,1.269119336,1.116568,4.232343,1.2781104,1.006413,4.18656,1.1290613,1.207525,4.205657,1.1497354,1.017368,4.177188,0.9340665,1.298302,4.213051,1.268897,1.23696,4.20194,0.9861381,1.231501,4.195257,1.0462426,-0.4059611,0.07654797,zoe,4/6/18 16:13,4/6/18 16:13,i
97,3455463847,7.20576E+16,0.906,FALSE,-1.36173239,2.8927483,0.997705,1.2754577,2.9670194,0.987682,1.3382394,2.8414379,0.981224,1.3326354,2.8968786,1.061886,1.2196094,2.9302975,0.924669,1.2060728,2.78246497,1.08428,1.0990606,3.0065186,0.8508,1.0372059,-0.0342798,-0.02827197,ben,4/6/18 16:13,4/6/18 16:13,tprinter
