minute,weighted_name,Head_x,Head_y,movementAmount,isTalking,headAngle,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,HandLeft_x,HandLeft_y,HandLeft_z,HandRight_x,HandRight_y,HandRight_z,leanVector_x,leanVector_z,eva,mia,ben,zoe,dan,ken,pat,sue,kim,laser_cutter,3D_printer,activity
4/6/18 16:11,ben,2.860759281,1.017919766,0.4195,0,1.396589338,1.66495755,2.883618002,1.063802818,1.6128638,2.865887115,0.992439646,1.5541686,2.881399487,1.152383786,1.49235425,2.851252123,1.036213886,1.43892955,2.73376061,1.199859156,1.37803275,2.826033266,0.903827959,1.4000184,0.0801082,0.168109375,0,0,0,0,0,1,0,0,0,1,1,tprinter
4/6/18 16:11,ken,2.082066277,2.274074538,3.520230769,0,-1.059090584,1.386022854,2.037700023,2.227045923,1.219102977,2.246158362,2.312867231,1.222376208,2.061531038,2.228790462,1.103594454,2.181084415,2.194746154,1.082412746,1.996023315,2.307984154,0.953705331,2.075985862,2.153714231,0.877986138,-0.384439238,-0.055491865,0,1,1,0,0,0,0,0,0,1,1,csue
4/6/18 16:11,mia,2.195638049,4.404391605,19.84405556,0,-0.97006387,1.437336706,2.245578436,4.373263287,1.248081428,2.117762505,4.301975441,1.284551856,2.241832738,4.370183799,1.075419344,2.066092852,4.306504094,1.110979761,2.041530637,4.348953066,1.067803372,2.11943239,4.441563838,1.014333111,-0.025507211,0.155475242,0,0,0,0,0,1,0,0,0,0,0,i
4/6/18 16:12,ben,2.88257707,1.029937441,6.205071429,0,1.02534705,1.705616114,2.959720852,1.049872979,1.652184504,2.834489956,0.999810325,1.661461836,2.904990372,1.124814931,1.537244432,2.861104762,0.966760665,1.568716261,2.772265078,1.194259803,1.434055829,2.850364666,0.938166234,1.494646925,0.202911467,0.136309948,0,0,0,0,0,1,0,0,0,1,1,tprinter
4/6/18 16:12,ken,2.081752793,2.2816272,1.191266667,0,-1.059090584,1.38637278,2.034343093,2.2258478,1.221997727,2.24478986,2.313329733,1.222319307,1.967466447,2.3866726,1.207469507,2.178574707,2.195832867,1.080900413,1.87656322,2.623265267,1.212009373,2.077654167,2.166433533,0.869046167,-0.390962353,-0.037400171,0,1,1,0,0,0,0,0,0,1,1,csue
4/6/18 16:12,mia,2.405427686,4.214949735,26.7825,0,-0.063069585,1.486352661,2.443980045,4.245432463,1.278836729,2.386368407,4.111391456,1.30347212,2.415261454,4.254079748,1.103116046,2.359554187,4.071207939,1.1290992,2.308015083,4.322649842,1.092229513,2.386553079,4.079081115,1.008140289,0.115168758,0.046821172,0,0,0,0,0,1,0,0,0,0,0,i
4/6/18 16:13,ben,2.9227807,1.024748667,4.666,0,-1.445739893,1.288815767,2.990894667,1.009050667,1.388107183,2.862702667,1.007443333,1.347941567,2.918102033,1.01661,1.262662233,2.9469299,0.958790667,1.216223667,2.81987119,0.975214667,1.0791505,2.993337033,0.86059,1.049420967,0.06190657,0.14879251,0,0,0,0,0,1,0,1,0,1,1,tprinter
4/6/18 16:13,ken,2.088701228,2.32522206,5.506846154,0,0.759344571,1.864270146,2.166979332,2.345055789,1.752385677,2.055942451,2.292844685,1.7826965,2.23382281,2.421579423,1.662103415,2.118575555,2.314015198,1.63219692,2.200507607,2.479847832,1.67703554,2.102938312,2.402574015,1.472308164,-0.151866313,0.300058868,0,1,1,1,0,0,0,1,0,1,1,csue
4/6/18 16:13,mia,2.293486256,4.452452995,2.319533333,0.066666667,-0.524703254,1.447783107,2.380431304,4.421263984,1.2354186,2.204577454,4.334410142,1.29885412,2.388662244,4.418394475,1.060238507,2.131424349,4.342885736,1.131874193,2.589720654,4.404830099,1.0537143,2.230574898,4.418354678,1.032322067,-0.088015187,0.184686909,0,0,0,1,0,1,0,1,0,0,0,csue
4/6/18 16:13,sue,2.137903738,2.936915187,6.330428571,0,0.946179552,1.556588229,2.268559887,3.085807106,1.357634271,2.142552803,2.801614829,1.349822414,2.252936631,3.109730173,1.152767243,2.045196145,2.719458744,1.318473371,2.275332786,3.138102985,0.959621343,1.931452786,2.89943306,1.266134943,0.124033614,-0.148386557,0,1,1,1,0,1,0,0,0,1,1,cmia
4/6/18 16:13,zoe,1.0513538,4.2132784,5.2936,0,0.171982561,1.31713018,1.0097658,4.1779902,1.1976093,1.1888808,4.1955954,1.21757968,0.9998944,4.1768128,1.11809016,1.2502748,4.2057938,1.26819198,1.048443,4.1664912,1.16515492,1.217611,4.178065,1.20866862,-0.54534822,0.062216734,0,1,0,0,0,1,0,1,0,0,0,i
4/6/18 16:14,ben,2.91688515,1.000214,2.9805,0,0.975258389,1.2888736,2.96329425,0.955558,1.33050075,2.8572881,0.9824025,1.3493146,2.87641755,1.0276415,1.2212186,2.95990395,0.97104,1.22509915,2.810216345,1.12666,1.0873572,3.0108535,0.870333,1.06313855,0.065509855,0.064102655,0,0,0,0,0,1,0,1,1,1,1,tprinter
4/6/18 16:14,ken,2.025435234,2.428206554,6.977,0,0.854721597,1.880729962,2.108981697,2.459706085,1.767450082,1.987376591,2.395981902,1.800038541,2.179727743,2.526138151,1.687976645,2.050656526,2.395444713,1.685862059,2.129936408,2.544429897,1.530194289,2.059085559,2.418630315,1.569320631,-0.177050603,0.383347308,0,1,1,0,0,0,0,1,1,1,1,i
4/6/18 16:14,kim,2.74308741,1.608016713,39.0279,0,-0.517402701,1.73797112,2.720416947,1.686478922,1.58716608,2.761835165,1.677376146,1.6137655,2.67871845,1.678922841,1.460363553,2.753814985,1.66099098,1.495621708,2.677027522,1.624091757,1.340226728,2.737842328,1.654222171,1.37258733,-0.060231426,-0.085511985,0,1,1,0,0,1,0,1,0,1,1,i
4/6/18 16:14,mia,2.542794639,4.188539116,2.267176471,0,-0.31072301,1.465707844,2.598957321,4.15738288,1.243200606,2.426916034,4.074423075,1.322998333,2.629337909,4.131023958,1.072650817,2.363047547,4.066003752,1.1434244,2.54978145,4.213449002,1.306209844,2.460917426,4.143424049,1.028329329,-0.019248976,0.276567009,0,0,0,0,0,1,0,1,1,0,0,i
4/6/18 16:14,sue,2.149940321,2.933066562,9.295857143,0,0.622097905,1.574213891,2.232012377,3.078344756,1.379746707,2.110723395,2.731191319,1.369694357,2.104501892,3.165128591,1.25429265,1.982901596,2.775844391,1.311906799,2.357490756,3.064783102,1.216270929,1.915159346,2.821684632,1.218131521,0.138472379,-0.183820276,0,1,1,0,0,1,0,0,1,0,0,i
4/6/18 16:15,ben,2.663069513,1.600807447,47.54457143,0,-1.000214925,1.327440566,2.585482646,1.659158801,1.113679679,2.771494626,1.496129044,1.121158086,2.531939551,1.649166688,0.917111507,2.808338762,1.41997809,0.964677143,2.483252769,1.507328855,0.840553107,2.720556587,1.314250171,0.911616464,0.087308929,0.126498144,0,0,0,0,0,1,0,1,0,1,1,tprinter
4/6/18 16:15,ken,2.08473148,2.321793193,7.7655,0,0.967940806,1.92245215,2.186861741,2.360431936,1.8041243,2.043966748,2.241426521,1.80443885,2.247431169,2.451096099,1.695274815,2.082115585,2.296031063,1.64155882,2.215887784,2.516405342,1.520389252,2.11325852,2.369960125,1.48357211,-0.024613064,0.1101532,0,1,1,0,0,0,0,1,0,1,1,i
4/6/18 16:15,mia,1.512233541,4.484983113,10.48328571,0.142857143,-0.021725277,1.681059514,1.692350911,4.469957718,1.49945698,1.47044453,4.362019535,1.452628378,1.841797625,4.460371242,1.363072607,1.394174585,4.251906483,1.265907164,1.740159761,4.430378527,1.178801779,1.566095621,4.470715588,1.302970551,0.234469086,0.175872386,0,0,0,0,0,1,0,1,0,0,0,i
4/6/18 16:15,sue,1.944052726,2.47932431,164.1245,0,-0.474288663,1.76730973,1.980293809,2.575849214,1.583959963,1.94071611,1.983897161,1.587373413,2.013626229,2.589941407,1.471824828,1.964383348,1.961866235,1.480833181,2.089005253,2.48915598,1.537031454,1.963887861,1.977423926,1.533366838,0.161859966,-0.307563573,0,1,1,0,0,1,0,0,0,0,0,i
4/6/18 16:16,ben,2.529637723,1.588700116,6.573352941,0,-0.656368809,1.371944543,2.433198556,1.623996835,1.164979008,2.615714356,1.505348258,1.156796072,2.371893223,1.658785882,0.980907865,2.650404609,1.450516848,1.040187706,2.359865989,1.548354213,0.922507024,2.569129767,1.408156464,0.903130421,0.100362056,0.19416675,0,1,0,1,1,0,0,0,1,1,1,tprinter
4/6/18 16:16,dan,1.970029049,3.618567063,104.3894,0,-1.013014222,1.22294762,1.9081753,3.671102644,1.060005935,2.081637961,3.528659864,1.054586357,1.872861224,3.575571202,0.88220398,2.076528997,3.477607061,0.88201181,1.748016224,3.363610596,0.79930941,1.919123799,3.42802499,0.84494308,0.419657666,0.33073314,0,1,1,1,0,0,0,0,1,1,0,cmia
